anio,detalle_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2018,A OTRAS UNIDADES DEL GOBIERNO,6272000.0,6324225.0,6324222.4,6319633.57,6319633.57,6309099.99,99.93,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,"ADQUISICION DE MAQUINARIAS, EQUIPO Y MOBILIARIO",6170527.0,9770989.0,8469795.62,8267341.75,8267341.73,8265501.73,84.61,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,ADQUISICION DE OTROS ACTIVOS FIJOS,0.0,803034.0,764611.71,748667.71,610798.71,610798.71,76.06,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,ADQUISICION DE VEHICULOS,400000.0,0.0,0.0,0.0,0.0,0.0,,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,AL GOBIERNO LOCAL,85000.0,474637.0,453675.28,452850.22,444892.73,435586.09,93.73,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,AL GOBIERNO NACIONAL,0.0,21415.0,9187.78,9187.35,9187.35,9187.35,42.9,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,ALIMENTOS Y BEBIDAS,737464.0,1381426.0,1360570.2,1355907.08,1355907.08,1333509.41,98.15,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,ALQUILERES DE MUEBLES E INMUEBLES,1200043.0,2159935.0,2147700.56,2094305.25,2093496.77,2062906.77,96.92,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,ASISTENCIA SOCIAL EN PENSIONES E INDEMNIZACIONES,122400.0,125472.0,125471.04,125073.66,125073.66,125073.66,99.68,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,"COMBUSTIBLES, CARBURANTES, LUBRICANTES Y AFINES",1088201.0,1607832.0,1592293.04,1539598.44,1532815.61,1514574.38,95.33,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
