anio,departamento_meta,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2021,HUANCAVELICA,3456027.0,5302992.0,5227466.97,5202570.31,5202570.31,5196494.36,98.11,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,HUANUCO,7643002.0,8833729.0,8702302.8,8683484.76,8683452.76,8675990.6,98.3,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,ICA,14716063.0,15076496.0,14834506.77,14810600.32,14810576.32,14794775.99,98.24,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,JUNIN,11101921.0,12111028.0,11965401.95,11955398.8,11955372.97,11944995.58,98.71,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,LA LIBERTAD,12009916.0,13816483.0,13702596.48,13667694.74,13667694.74,13649879.07,98.92,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,LAMBAYEQUE,10292492.0,11653505.0,11583089.38,11566439.38,11566411.38,11559994.45,99.25,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,LIMA,450540515.0,396942022.0,384203541.15,383023177.33,383020638.72,382784478.35,96.49,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,LORETO,6738509.0,9364748.0,9173248.15,9155620.65,9155620.65,9147060.48,97.77,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,MADRE DE DIOS,3687169.0,6087974.0,5939573.17,5912595.76,5912595.76,5909235.13,97.12,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,MOQUEGUA,2724584.0,5057018.0,5007755.45,4928123.68,4928079.51,4921046.82,97.45,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
